fish_market,name,distance
Benicarló,A,382.134299618904
Benicarló,B,372.3351486532974
Benicarló,C,334.0652573692856
Benicarló,D,296.9311605333209
Benicarló,E,267.3055147176067
Benicarló,F,229.5706102237372
Benicarló,G,218.0805087662327
Benicarló,H,206.39973286582108
Benicarló,I,200.60628302013285
Benicarló,J,97.61396117257307
Benicarló,K,78.7639453609182
Benicarló,L,73.0210085771625
Burriana,A,308.31845949489696
Burriana,B,298.645752506103
Burriana,C,262.98505510590957
Burriana,D,226.36254579659092
Burriana,E,196.61123404274116
Burriana,F,160.39989131606683
Burriana,G,150.79660288049482
Burriana,H,141.5948435369505
Burriana,I,137.1764717612363
Burriana,J,23.770943403179086
Burriana,K,5.689520097195484
Burriana,L,4.941112391737311
Cartagena,A,60.96796083829684
Cartagena,B,51.58227764393021
Cartagena,C,7.997223851375617
Cartagena,D,31.7966353413272
Cartagena,E,60.55829935098749
Cartagena,F,104.62248136863221
Cartagena,G,118.51679465797038
Cartagena,H,134.03121773298327
Cartagena,I,141.7970166264492
Cartagena,J,235.6916862665053
Cartagena,K,253.48212283092036
Cartagena,L,259.0973621190115
Cullera,A,232.32642393793122
Cullera,B,222.33597695626125
Cullera,C,183.79658853364123
Cullera,D,147.01106381257003
Cullera,E,117.261834216167
Cullera,F,81.19504714028717
Cullera,G,72.85246116193228
Cullera,H,66.57397873114388
Cullera,I,64.42045923475786
Cullera,J,51.93590239212977
Cullera,K,69.19863235134426
Cullera,L,74.55127418414679
Denia,A,224.37631274397106
Denia,B,214.01194571106268
Denia,C,165.71627890232685
Denia,D,128.41380527716996
Denia,E,100.59701510451846
Denia,F,61.64601585418144
Denia,G,47.013621051269354
Denia,H,32.5816706226017
Denia,I,26.135755820745228
Denia,J,88.37056294816611
Denia,K,102.20015088701784
Denia,L,105.70893111854213
Gandía,A,221.35388610464727
Gandía,B,211.1474980168561
Gandía,C,168.90705888856883
Gandía,D,131.6605124343553
Gandía,E,102.13666223322286
Gandía,F,64.30391548548582
Gandía,G,54.07540807907261
Gandía,H,46.37835608983154
Gandía,I,43.961120536335486
Gandía,J,70.06169688177364
Gandía,K,86.34175345887367
Gandía,L,91.08084128159415
Javea,A,223.60178955699735
Javea,B,213.24830976296707
Javea,C,163.13228233768083
Javea,D,126.0954557858373
Javea,E,99.23205288015961
Javea,F,60.94503127394309
Javea,G,45.561133138841825
Javea,H,29.572894956919964
Javea,I,22.110074452410398
Javea,J,96.96799773784488
Javea,K,110.27982010473518
Javea,L,113.51735827630014
Peñíscola,A,375.7004989125561
Peñíscola,B,365.8916231180633
Peñíscola,C,327.5531745714532
Peñíscola,D,290.4189822210527
Peñíscola,E,260.7932397618816
Peñíscola,F,223.06313488882657
Peñíscola,G,211.59315596506372
Peñíscola,H,199.9545062013571
Peñíscola,I,194.18854382243663
Peñíscola,J,91.25542219577447
Peñíscola,K,72.42765286515679
Peñíscola,L,66.63383043567762
Sagunto,A,285.5000364486232
Sagunto,B,275.97490600841644
Sagunto,C,242.60744629094296
Sagunto,D,206.5271678074825
Sagunto,E,176.86771136396322
Sagunto,F,142.2135528306442
Sagunto,G,134.21348624298767
Sagunto,H,126.97530562387104
Sagunto,I,123.66238771112836
Sagunto,J,11.07457102670381
Sagunto,K,18.694235786301572
Sagunto,L,25.081388521456596
San Pedro Grao Castellón,A,322.0998986300135
San Pedro Grao Castellón,B,312.4099469770433
San Pedro Grao Castellón,C,276.30454769552335
San Pedro Grao Castellón,D,239.56722199286378
San Pedro Grao Castellón,E,209.81802589110083
San Pedro Grao Castellón,F,173.24927047120968
San Pedro Grao Castellón,G,163.21338463875878
San Pedro Grao Castellón,H,153.42919540689084
San Pedro Grao Castellón,I,148.67201850521457
San Pedro Grao Castellón,J,37.4180017626554
San Pedro Grao Castellón,K,18.634144681140594
San Pedro Grao Castellón,L,14.02730816680942
San Pedro del Pinatar,A,88.85411899104412
San Pedro del Pinatar,B,78.75255502768002
San Pedro del Pinatar,C,29.445981227432696
San Pedro del Pinatar,D,7.1559584373566425
San Pedro del Pinatar,E,29.602920996263556
San Pedro del Pinatar,F,73.65060646635148
San Pedro del Pinatar,G,87.58620710365348
San Pedro del Pinatar,H,103.24824203208048
San Pedro del Pinatar,I,111.0527678239126
San Pedro del Pinatar,J,205.89977624956515
San Pedro del Pinatar,K,223.567745492252
San Pedro del Pinatar,L,229.06669675336656
Santa Pola,A,131.78185927937858
Santa Pola,B,121.42864190017951
Santa Pola,C,74.90554694514285
Santa Pola,D,37.82380089904347
Santa Pola,E,8.12935104940683
Santa Pola,F,27.843338840516687
Santa Pola,G,42.54983115743811
Santa Pola,H,58.98625386354763
Santa Pola,I,66.92719059042572
Santa Pola,J,160.94070556588795
Santa Pola,K,178.38851018063923
Santa Pola,L,183.716464362576
Valencia,A,258.0305588750057
Valencia,B,248.35927330372246
Valencia,C,213.77441257029577
Valencia,D,177.59448605683215
Valencia,E,147.91850294377565
Valencia,F,113.3519260297705
Valencia,G,105.81047700670646
Valencia,H,99.54675995673385
Valencia,I,96.94561472023024
Valencia,J,22.977813473199994
Valencia,K,40.9781035971433
Valencia,L,47.274889561902846
Villajoyosa,A,176.4399093592994
Villajoyosa,B,166.080865923343
Villajoyosa,C,117.69830202029058
Villajoyosa,D,80.30287273852117
Villajoyosa,E,52.315908028838166
Villajoyosa,F,13.736264630912357
Villajoyosa,G,0.6628803484691465
Villajoyosa,H,15.65329194475785
Villajoyosa,I,23.249422284300728
Villajoyosa,J,124.14675149700057
Villajoyosa,K,140.60087860443534
Villajoyosa,L,145.30803228327918
Vinaroz,A,389.8855094590467
Vinaroz,B,380.0894218613929
Vinaroz,C,341.7847330995589
Vinaroz,D,304.638723918205
Vinaroz,E,275.0212863679971
Vinaroz,F,237.2472085867535
Vinaroz,G,225.69525779069406
Vinaroz,H,213.9231829335188
Vinaroz,I,208.0781898109064
Vinaroz,J,105.33614268619252
Vinaroz,K,86.4773736519983
Vinaroz,L,80.75875493918565
